"id","district_id","name","created_at","updated_at"
"83","7","Mthabua","2019-02-12 07:06:15","2019-02-12 07:06:15"
"84","7","Lisasadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"85","7","Lifupa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"86","7","Mpasadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"87","7","Matenje","2019-02-12 07:06:15","2019-02-12 07:06:15"
"88","7","Chigodi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"89","7","Rusa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"90","7","Mziza","2019-02-12 07:06:15","2019-02-12 07:06:15"
"91","7","Chibophi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"92","7","Kachokolo","2019-02-12 07:06:15","2019-02-12 07:06:15"
"93","7","Kambira","2019-02-12 07:06:15","2019-02-12 07:06:15"
"94","7","Chipala","2019-02-12 07:06:15","2019-02-12 07:06:15"
"95","7","Mponda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"96","7","Belere","2019-02-12 07:06:15","2019-02-12 07:06:15"
"97","7","Chankhanga","2019-02-12 07:06:15","2019-02-12 07:06:15"
"98","7","Chimbuna","2019-02-12 07:06:15","2019-02-12 07:06:15"
"99","7","Chitete","2019-02-12 07:06:15","2019-02-12 07:06:15"
"100","7","Chithiba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"101","7","Chithiba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"102","7","Bunda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"103","7","Kapalankhwazi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"104","7","Kasalika","2019-02-12 07:06:15","2019-02-12 07:06:15"
"105","7","Kabvunguti","2019-02-12 07:06:15","2019-02-12 07:06:15"
"106","7","Ndonda","2019-02-12 07:06:15","2019-02-12 07:06:15"
"107","7","Mbongozi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"108","8","Kasitu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"109","8","Nkhunga","2019-02-12 07:06:15","2019-02-12 07:06:15"
"110","8","Liwaladzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"111","8","Bua","2019-02-12 07:06:15","2019-02-12 07:06:15"
"112","8","Mpondagaga","2019-02-12 07:06:15","2019-02-12 07:06:15"
"113","8","Boma","2019-02-12 07:06:15","2019-02-12 07:06:15"
"114","8","Linga-Sani","2019-02-12 07:06:15","2019-02-12 07:06:15"
"115","8","Mpama","2019-02-12 07:06:15","2019-02-12 07:06:15"
"116","8","Mtosa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"117","8","Kasangadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"118","9","Katete-Thumba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"119","9","Kalira-Masamba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"120","9","Bawala","2019-02-12 07:06:15","2019-02-12 07:06:15"
"121","9","Masangano","2019-02-12 07:06:15","2019-02-12 07:06:15"
"122","9","Kamlenje","2019-02-12 07:06:15","2019-02-12 07:06:15"
"123","9","Chimbwadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"124","9","Langa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"125","9","Mtsiro","2019-02-12 07:06:15","2019-02-12 07:06:15"
"126","10","Chiwere North","2019-02-12 07:06:15","2019-02-12 07:06:15"
"127","10","Chiwere East","2019-02-12 07:06:15","2019-02-12 07:06:15"
"128","10","Mukula East","2019-02-12 07:06:15","2019-02-12 07:06:15"
"129","10","Mukula West","2019-02-12 07:06:15","2019-02-12 07:06:15"
"130","10","Msakambewa East","2019-02-12 07:06:15","2019-02-12 07:06:15"
"131","10","Msakambewa West","2019-02-12 07:06:15","2019-02-12 07:06:15"
"132","10","Chakhaza South-West","2019-02-12 07:06:15","2019-02-12 07:06:15"
